EVENTDATE,ACCOUNT_ID,CAMPAIGN_ID,CAMPAIGN_NAME,ADSET_ID,RULE,RECOMMENDATION,EVENT,REQUEST_ID
2/21/24,7150655894950781,120205039811050410,AdcopyTest|20240215|Variant3|6 Beverages Beneficial for Blood Pressure,120205039811910410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.3044791142425768, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039811910410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039811910410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208456410410,BudgetTest|20240220|Variant1|Quality Skincare Products,120205208457690410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.41162790697674423, ""budget"": 1000}, ""event"": {""adSetId"": ""120205208457690410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208457690410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039818700410,AdcopyTest|20240215|Variant3|Neuropathy Care For Feet,120205039819300410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.7845, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039819300410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039819300410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037237940410,AdcopyTest|20240215|Variant1|Diet for Weight Reduction,120205037239340410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.39860139860139865, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037239340410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037239340410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208456440410,BudgetTest|20240220|Variant1|Treatment for Copd,120205208457890410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.17670682730923692, ""budget"": 1000}, ""event"": {""adSetId"": ""120205208457890410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208457890410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,,120205208440680410,,120205208441810410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.0, ""budget"": 500}, ""event"": {""adSetId"": ""120205208441810410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208441810410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205035015640410,AdcopyTest|20240215|Variant3|Juice for Kidney Detoxification,120205035015970410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.21634611224113226, ""budget"": 1000}, ""event"": {""adSetId"": ""120205035015970410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205035015970410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208467740410,BudgetTest|20240220|Variant2|Dog Food Brands to Consider Carefully,120205208469240410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.35390946502057613, ""budget"": 500}, ""event"": {""adSetId"": ""120205208469240410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208469240410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037230390410,AdcopyTest|20240215|Variant1|Juice Cleanse,120205037230870410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.34001905348342115, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037230870410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037230870410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,,120205208440810410,,120205208441400410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.0, ""budget"": 500}, ""event"": {""adSetId"": ""120205208441400410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208441400410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039811010410,AdcopyTest|20240215|Variant4|Discounted Tires,120205039811740410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.47635299853729884, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039811740410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039811740410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205035010890410,AdcopyTest|20240215|Variant3|Beverages that Help Regulate Blood Pressure,120205035011420410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.77130476649013, ""budget"": 1000}, ""event"": {""adSetId"": ""120205035011420410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205035011420410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037222310410,AdcopyTest|20240215|Variant4|Beverages that Help Regulate Blood Pressure,120205037222460410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.4689067201604814, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037222460410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037222460410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039811080410,AdcopyTest|20240215|Variant2|Neuropathy Care For Feet,120205039812030410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.9832923832923833, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039812030410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039812030410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205035021300410,AdcopyTest|20240215|Variant3|Discounted Tires,120205035021820410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.48233562315996076, ""budget"": 1000}, ""event"": {""adSetId"": ""120205035021820410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205035021820410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208456480410,BudgetTest|20240220|Variant1|Optimal Diet Foods to Consume,120205208457800410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.22350230414746544, ""budget"": 1000}, ""event"": {""adSetId"": ""120205208457800410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208457800410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208467770410,BudgetTest|20240220|Variant2|Natural Supplements,120205208468930410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.39999999999999997, ""budget"": 500}, ""event"": {""adSetId"": ""120205208468930410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208468930410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037230460410,AdcopyTest|20240215|Variant1|Face Cream for Wrinkle Reduction,120205037230780410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.4053012048192771, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037230780410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037230780410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208467720410,BudgetTest|20240220|Variant1|Herbal Solutions For Neuropathy,120205208468840410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.10714285714285715, ""budget"": 1000}, ""event"": {""adSetId"": ""120205208468840410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208468840410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039811620410,AdcopyTest|20240215|Variant3|Juice Cleanse,120205039812120410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.29363150218765194, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039812120410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039812120410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037230360410,AdcopyTest|20240215|Variant4|Diet for Weight Reduction,120205037230510410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.3407443209279845, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037230510410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037230510410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037222240410,AdcopyTest|20240215|Variant2|Face Cream for Wrinkle Reduction,120205037222630410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.9176755447941891, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037222630410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037222630410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208449670410,BudgetTest|20240220|Variant2|Quality Skincare Products,120205208450140410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.171875, ""budget"": 500}, ""event"": {""adSetId"": ""120205208450140410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208450140410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037238000410,AdcopyTest|20240215|Variant4|6 Beverages Beneficial for Blood Pressure,120205037239260410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.4661354581673307, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037239260410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037239260410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205035021430410,AdcopyTest|20240215|Variant1|Available Hot Tubs,120205035022480410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.4747919725893295, ""budget"": 1000}, ""event"": {""adSetId"": ""120205035022480410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205035022480410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039804720410,AdcopyTest|20240215|Variant1|Discounted Tires,120205039805020410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.49927078269324254, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039805020410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039805020410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208466190410,BudgetTest|20240220|Variant1|Dog Food Brands to Consider Carefully,120205208466270410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.6743119266055045, ""budget"": 1000}, ""event"": {""adSetId"": ""120205208466270410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208466270410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039804780410,AdcopyTest|20240215|Variant1|6 Beverages Beneficial for Blood Pressure,120205039805190410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.28996469994957136, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039805190410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039805190410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208440780410,BudgetTest|20240220|Variant1|Dry Eye Drops,120205208441580410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.210989010989011, ""budget"": 1000}, ""event"": {""adSetId"": ""120205208441580410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208441580410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,,120205208449690410,,120205208449970410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.0, ""budget"": 500}, ""event"": {""adSetId"": ""120205208449970410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208449970410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205037222330410,AdcopyTest|20240215|Variant3|Detoxification,120205037222640410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.20630231413096994, ""budget"": 1000}, ""event"": {""adSetId"": ""120205037222640410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205037222640410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200